Designator,Footprint,Quantity,Value,LCSC Part #
@HOLE0,,1,,
C1,PANASONIC_C,1,22u,
"C10, C25, C31, C35, C48, C6",CAP_0603_C6,6,100n,
"C11, C15, C19, C20, C27, C37, C47, C50, C9",CAP_0603_C7,9,100n,
C12,PANASONIC_A,1,10u,
"C13, C17",CAP_0603_C13,2,100n,
"C14, C29",CAP_0603_C6,2,2.2n,
"C16, C22",CAP_0805,2,2.2u,
C18,CAP_0603_C13,1,1u,
C2,CAPAE-5.3x5.3h7,1,47u,
C21,PANASONIC_A_C21,1,10u,
C23,CAP_0603_C23,1,18p,
C24,CAP_0603_C24,1,18p,
C26,CAP_0603_C6,1,10n,
"C28, C36, C38",CAP_0603_C7,3,10n,
C3,CAPAE-5.3x5.3h7_C3,1,47u,
C30,CAP_0603_C6,1,1u,
C32,PANASONIC_A_C32,1,10u,
C33,PANASONIC_A_C33,1,10u,
C34,PANASONIC_A_C34,1,10u,
C39,CAP_0603_C39,1,100n,
"C4, C5",CAP_0603,2,18p,
C40,PANASONIC_A_C40,1,10u,
C41,PANASONIC_A_C41,1,10u,
C42,CAP_0603_C6,1,18p,
C43,CAP_0603_C7,1,18p,
C44,CAP_0603_C44,1,100n,
C45,CAP_0603_C45,1,100n,
C46,PANASONIC_A_C46,1,10u,
C49,CAP_0603_C7,1,220p,
C7,CAP_0603_C7,1,1u,
C8,CAPAE-5.3x5.3h7_C8,1,47u,
D3,SOT23,1,BAT54S,
D7,SOP-4_6.5x2.54,1,MB1S,
IC1,SOT223-4,1,LM1117-3.3,
IC2,TQFP-10X10-64,1,STM32F405RGT6,
IC3,DBZ_R-PDSO-G3,1,LM4040B10,
IC4,TSSOP16,1,4051PW,
IC5,SO08,1,MCP6002,
IC6,SSOP28,1,WM8731,
IC7,SO08_IC7,1,MCP6002,
IC8,SO08_IC8,1,TL072,
IC9,SO08_IC9,1,MCP6002,
"J1, J3, J6, J7",Thonkiconn,4,PJ301_THONKICONN6,
"J10, J2",Thonkiconn_J2,2,PJ301_THONKICONN6,
J4,Thonkiconn_J4,1,PJ301_THONKICONN6,
"J5, J8",Thonkiconn_J5,2,PJ301_THONKICONN6,
J9,Thonkiconn_J9,1,PJ301_THONKICONN6,
JP1,2X5-1.27,1,M05X2MINIJTAG,
JP3,AVR_ICSP,1,M05X2PTH,
L1,0603,1,WE-CBF_0603,
L2,0603_L2,1,WE-CBF_0603,
L3,0603_L3,1,WE-CBF_0603,
"LED1, LED2",LED-BICOLOR-THROUGHHOLE,2,WP115VEGW,
Q1,TSC_7A_crystal,1,8MHz,
Q2,SOT23-BEC,1,MMBT3904,
Q3,TSC_7A_crystal_Q3,1,12.288MHz,
"R1, R3",RES_0603,2,180,
"R10, R28, R29, R30",ALPS_POT_VERTICAL_PS_R10,4,10kB,
"R11, R14, R19, R22",RES_0603_R8,4,100k,
"R12, R16, R17",RES_0603_R6,3,2.2k,
"R13, R38, R41",RES_0603_R6,3,47k,
R15,RES_0603_R8,1,180k,
"R18, R26",RES_0603_R6,2,20k,
R2,R1206,1,4.7,
"R20, R24",RES_0603_R8,2,120k,
"R21, R34, R35, R52",RES_0603_R6,4,100k,
"R23, R36, R37",RES_0603_R6,3,120k,
"R25, R31, R32",RES_0603_R8,3,20k,
R27,RES_0603_R27,1,36k,
"R33, R42, R44",RES_0603_R8,3,47k,
R39,RES_0603_R39,1,47k,
R4,RES_0603_R4,1,180,
"R40, R43, R51",RES_0603_R8,3,6.8k,
"R45, R47, R48, R49",ALPS_POT_VERTICAL,4,10kB,
R46,ALPS_POT_VERTICAL_R46,1,10kB,
R5,RES_0603_R5,1,180,
R50,RES_0603_R8,1,3.3M,
R53,RES_0603_R6,1,1M,
R54,RES_0603_R8,1,36k,
R55,RES_0603_R8,1,1.0k,
R56,RES_0603_R6,1,1.0k,
R57,RES_0603_R6,1,470k,
R6,RES_0603_R6,1,10k,
R7,RES_0603_R7,1,10k,
R8,RES_0603_R8,1,10k,
R9,ALPS_POT_VERTICAL_PS,1,10kB,
SJ1,SJ_2S-NOTRACE,1,SOLDERJUMPERNC2,
SW1,TACTILE-PTH,1,TAC_SWITCHPTH,
SW2,TACTILE-PTH_SW2,1,TAC_SWITCHPTH,
