Designator,Mid X,Mid Y,Rotation,Layer
@HOLE0,148.5011,-52.933599,0.0,top
C1,138.499867,-88.811099,0.0,top
C10,158.502367,-101.193599,0.0,top
C11,138.6586,-105.321099,180.0,top
C12,165.804867,-76.746099,270.0,top
C13,163.264867,-78.651099,90.0,top
C14,130.7211,-137.706099,0.0,top
C15,150.882367,-146.913599,180.0,top
C16,138.817367,-111.671099,180.0,top
C17,157.3911,-113.417366,0.0,top
C18,157.549867,-115.163599,0.0,top
C19,141.1986,-137.547366,180.0,top
C2,138.499867,-72.142332,270.0,top
C20,139.2936,-114.528599,180.0,top
C21,158.184867,-118.656099,180.0,top
C22,150.4061,-117.068599,180.0,top
C23,163.582367,-126.276099,90.0,top
C24,155.009867,-126.276099,90.0,top
C25,153.104867,-120.243599,0.0,top
C26,150.7236,-137.388599,0.0,top
C27,141.039867,-120.561099,180.0,top
C28,146.754867,-137.388599,180.0,top
C29,150.7236,-152.311099,0.0,top
C3,138.499833,-82.302366,0.0,top
C30,142.309867,-126.276099,90.0,top
C31,139.769867,-126.276099,90.0,top
C32,146.754867,-133.737366,180.0,top
C33,141.1986,-133.737366,0.0,top
C34,152.3111,-133.737366,0.0,top
C35,156.7561,-134.372366,0.0,top
C36,165.9636,-151.834866,180.0,top
C37,159.6136,-137.229866,180.0,top
C38,165.9636,-137.229866,180.0,top
C39,140.5636,-149.929866,180.0,top
C4,152.3111,-93.891099,180.0,top
C40,135.642367,-133.737366,0.0,top
C41,131.832367,-96.431099,90.0,top
C42,146.5961,-152.152366,0.0,top
C43,131.0386,-151.993599,180.0,top
C44,136.7536,-95.478599,0.0,top
C45,137.3886,-157.867366,180.0,top
C46,158.9786,-96.589866,180.0,top
C47,132.6261,-62.617366,180.0,top
C48,157.0736,-90.398599,0.0,top
C49,131.0386,-135.007366,180.0,top
C5,152.469867,-98.336099,180.0,top
C50,160.089867,-150.564866,180.0,top
C6,159.6136,-74.206099,0.0,top
C7,142.4686,-96.748599,180.0,top
C8,158.6611,-56.584866,90.0,top
C9,142.4686,-98.971132,180.0,top
D3,136.7536,-119.449866,0.0,top
D7,138.3411,-56.746099,0.0,top
IC1,158.7036,-67.616099,270.0,top
IC2,148.5136,-108.312332,180.0,top
IC3,156.4386,-146.278599,90.0,top
IC4,158.6936,-81.788599,270.0,top
IC5,158.7211,-154.533599,270.0,top
IC6,148.602033,-126.532332,270.0,top
IC7,158.6011,-141.198599,270.0,top
IC8,139.0361,-153.898599,270.0,top
IC9,139.3536,-141.516066,270.0,top
J1,163.1061,-141.948107,180.0,bottom
J10,133.8961,-152.514091,0.0,bottom
J2,153.5811,-152.514091,0.0,bottom
J3,153.5811,-141.948107,180.0,bottom
J4,163.1061,-152.514091,0.0,bottom
J5,161.2771,-129.133599,270.0,bottom
J6,133.8961,-141.948107,180.0,bottom
J7,143.4211,-141.948107,180.0,bottom
J8,135.7251,-129.133599,90.0,bottom
J9,143.4211,-152.514091,0.0,bottom
JP1,165.963633,-108.496099,180.0,top
JP3,148.5011,-62.617366,0.0,top
L1,142.6861,-52.298599,0.0,top
L2,143.162367,-59.124866,0.0,top
L3,136.5361,-98.018599,180.0,top
LED1,148.5011,-71.983606,0.0,bottom
LED2,148.5011,-87.223606,0.0,bottom
Q1,148.977367,-96.775866,90.0,top
Q2,133.102367,-105.479866,0.0,top
Q3,159.1656,-126.276099,0.0,top
R1,147.389867,-78.333599,90.0,top
R10,138.3411,-74.086599,180.0,bottom
R11,131.3561,-109.607366,0.0,top
R12,131.3561,-112.464866,180.0,top
R13,130.7211,-139.928599,180.0,top
R14,130.721133,-142.151099,0.0,top
R15,130.721133,-144.532366,0.0,top
R16,146.437367,-117.862366,180.0,top
R17,146.437367,-120.243599,180.0,top
R18,150.7236,-139.611099,180.0,top
R19,150.882367,-141.833599,0.0,top
R2,133.102367,-77.381099,270.0,top
R20,150.882367,-144.214866,0.0,top
R21,146.754867,-141.833599,180.0,top
R22,150.7236,-157.232366,0.0,top
R23,146.754867,-144.214866,180.0,top
R24,150.7236,-150.088599,0.0,top
R25,146.754867,-139.611099,0.0,top
R26,150.7236,-154.533599,180.0,top
R27,156.7561,-131.514866,0.0,top
R28,138.3411,-89.326599,180.0,bottom
R29,138.3411,-104.566599,180.0,bottom
R3,149.612367,-78.333599,90.0,top
R30,138.3411,-119.806599,180.0,bottom
R31,165.9636,-154.216099,0.0,top
R32,165.9636,-139.452366,0.0,top
R33,146.9136,-147.072366,0.0,top
R34,165.6461,-156.597366,180.0,top
R35,165.9636,-141.674866,180.0,top
R36,165.9636,-149.453599,180.0,top
R37,165.9636,-143.897366,180.0,top
R38,137.3886,-137.547366,180.0,top
R39,136.7536,-149.929866,180.0,top
R4,147.666333,-90.874866,90.0,top
