Designator,Footprint,Quantity,Value,LCSC Part #
C1,PANASONIC_C,1,22u,
"C10, C11, C13, C15, C17, C19, C20, C25, C27, C31, C35, C37, C39, C44, C45, C47, C48, C50, C6, C9",CAP_0603_C5,20,100n,
"C12, C21, C32, C33, C34, C40, C41, C46",PANASONIC_A,8,10u,
C14,CAP_0603_C5,1,2.2n,
C16,CAP_0805,1,2.2u,
C18,CAP_0603,1,1u,
"C2, C3, C8",CAPAE-5.3x5.3h7,3,47u,
C22,CAP_0805_C22,1,2.2u,
"C23, C4",CAP_0603,2,18p,
"C24, C42, C43, C5",CAP_0603_C5,4,18p,
"C26, C28, C36, C38",CAP_0603_C5,4,10n,
C29,CAP_0603,1,2.2n,
"C30, C7",CAP_0603_C5,2,1u,
C49,CAP_0603_C5,1,220p,
D3,SOT23,1,BAT54S,
D7,SOP-4_6.5x2.54,1,MB1S,
IC1,SOT223-4,1,LM1117-3.3,
IC2,TQFP-10X10-64,1,STM32F405RGT6,
IC3,DBZ_R-PDSO-G3,1,LM4040B10,
IC4,TSSOP16,1,4051PW,
"IC5, IC9",SO08,2,MCP6002,
IC6,SSOP28,1,WM8731,
IC7,SO08_IC7,1,MCP6002,
IC8,SO08_IC8,1,TL072,
J1,Thonkiconn,1,PJ301_THONKICONN6,
"J10, J2, J6, J7, J8, J9",Thonkiconn_J2,6,PJ301_THONKICONN6,
J3,Thonkiconn_J3,1,PJ301_THONKICONN6,
J4,Thonkiconn_J4,1,PJ301_THONKICONN6,
J5,Thonkiconn_J5,1,PJ301_THONKICONN6,
JP1,2X5-1.27,1,M05X2MINIJTAG,
JP3,AVR_ICSP,1,M05X2PTH,
"L1, L2, L3",0603,3,WE-CBF_0603,
"LED1, LED2",LED-BICOLOR-THROUGHHOLE,2,WP115VEGW,
Q1,TSC_7A_crystal,1,8MHz,
Q2,SOT23-BEC,1,MMBT3904,
Q3,TSC_7A_crystal_Q3,1,12.288MHz,
"R1, R3, R4, R5",RES_0603,4,180,
"R10, R29",BOURNS_PTL_30mm,2,BOURNS PTL LED SLIDE POT ,
"R101, R58, R59, R98",RES_0603_R58,4,1.0k,
"R11, R14, R19, R21, R22, R34, R35, R52",RES_0603,8,100k,
"R12, R16, R17",RES_0603,3,2.2k,
"R13, R33, R38, R39, R41, R42, R44",RES_0603,7,47k,
R15,RES_0603,1,180k,
"R18, R25, R26, R31, R32",RES_0603,5,20k,
R2,R1206,1,4.7,
"R20, R23, R24, R36, R37",RES_0603,5,120k,
"R27, R54",RES_0603,2,36k,
R28,BOURNS_PTL_30mm_R28,1,BOURNS PTL LED SLIDE POT ,
R30,BOURNS_PTL_30mm_R30,1,BOURNS PTL LED SLIDE POT ,
"R40, R43, R51",RES_0603,3,6.8k,
R45,ALPS_POT_VERTICAL_PS_R45,1,10kB,
"R46, R47, R9",ALPS_POT_VERTICAL_PS,3,10kB,
R48,ALPS_POT_VERTICAL_PS_R48,1,10kB,
R49,ALPS_POT_VERTICAL_PS_R49,1,10kB,
R50,RES_0603,1,3.3M,
R53,RES_0603,1,1M,
"R55, R56",RES_0603,2,1.0k,
R57,RES_0603,1,470k,
"R6, R7, R8",RES_0603,3,10k,
SJ1,SJ_2S-NOTRACE,1,SOLDERJUMPERNC2,
SW1,TACTILE-PTH,1,TAC_SWITCHPTH,
SW2,TACTILE-PTH_SW2,1,TAC_SWITCHPTH,
"U1, U19",TSSOP-8,2,TLV2172,
