Designator,Mid X,Mid Y,Rotation,Layer
C1,138.341108,-94.351253,180.001262754521,top
C10,150.012341,-63.477353,180.0,top
C11,149.427641,-77.93112,270.0,top
C12,122.069975,-106.30762,0.0,top
C13,123.027341,-102.475786,180.0,top
C14,175.386108,-138.021253,180.0,top
C15,139.167775,-127.211586,0.0,top
C16,157.975608,-79.473891,180.001262754521,top
C17,163.885941,-64.066753,90.0,top
C18,166.202141,-64.014353,90.0,top
C19,164.886975,-144.235386,0.0,top
C2,136.313841,-77.061253,0.0,top
C20,162.455475,-76.496986,0.0,top
C21,146.202975,-83.638286,0.0,top
C22,165.333608,-67.410753,0.0,top
C23,165.861108,-83.411253,90.0,top
C24,165.861108,-86.586253,270.0,top
C25,151.638775,-82.122586,0.0,top
C26,168.603241,-127.860553,180.001262754521,top
C27,157.849775,-82.029186,0.0,top
C28,159.511108,-139.291253,0.0,top
C29,155.066108,-139.926253,180.0,top
C3,134.676108,-63.726253,0.0,top
C30,145.192875,-86.518353,180.001262754521,top
C31,148.069808,-87.358086,90.00105229612899,top
C32,147.866108,-96.746253,90.0,top
C33,154.216108,-96.746253,90.0,top
C34,161.677375,-96.746253,90.0,top
C35,157.708608,-96.111253,270.0,top
C36,141.529275,-141.196253,0.0,top
C37,154.911575,-127.828186,180.0,top
C38,154.977208,-129.947053,0.0,top
C39,127.126108,-145.006253,0.0,top
C4,142.691875,-64.05412,180.0,top
C40,167.551108,-96.746253,90.0,top
C41,123.465108,-72.642186,0.0,top
C42,121.196108,-141.196253,0.0,top
C43,136.436108,-141.196253,0.0,top
C44,136.971008,-72.464853,0.0,top
C45,130.688841,-136.543553,0.0,top
C46,148.136408,-120.990053,270.0,top
C47,122.385675,-95.553986,180.0,top
C48,163.320008,-120.958786,0.0,top
C49,172.211108,-95.476253,0.0,top
C5,145.866875,-64.05412,0.0,top
C50,146.872641,-144.788786,0.0,top
C6,121.252375,-77.22002,0.0,top
C7,142.764141,-74.879253,270.00231505064903,top
C8,137.851108,-83.411253,0.0,top
C9,140.995375,-74.86722,270.0,top
D3,167.736308,-72.84932,0.0,top
D7,125.045941,-63.294753,270.00168367297204,top
IC1,124.131108,-81.781253,0.0,top
IC2,155.682508,-70.638753,270.0,top
IC3,134.776575,-126.118386,270.0,top
IC4,129.82104099985966,-105.351187449668,0.0016836729720353105,top
IC5,148.501108,-140.501253,90.0,top
IC6,154.793308,-88.588853,270.0,top
IC7,161.836108,-125.896253,90.0,top
IC8,128.816108,-140.501253,90.00105229612899,top
IC9,167.614875,-140.501253,90.0,top
J1,170.01510799981523,-130.40125262675136,89.99852678625302,bottom
J10,133.261108,-151.432253,0.0,bottom
J2,143.421108,-151.432253,0.0,bottom
J3,156.045108,-130.401253,90.0,bottom
J4,140.95710800009425,-130.40125326661197,269.998947703871,bottom
J5,126.98710800009428,-130.40125326661197,269.998947703871,bottom
J6,163.741108,-151.432253,0.0,bottom
J7,173.901108,-151.432253,0.0,bottom
J8,153.581108,-151.432253,0.0,bottom
J9,123.101108,-151.432253,0.0,bottom
JP1,158.026075,-54.201253,0.0,top
JP3,142.151108,-54.201253,270.0,top
L1,135.477708,-59.741553,0.0,top
L2,131.401175,-59.728786,0.0,top
L3,121.287075,-75.614586,0.0,top
LED1,166.281098,-54.296253,270.0,bottom
LED2,130.721098,-54.296253,270.0,bottom
Q1,144.465375,-67.01412,180.0,top
Q2,145.438975,-78.760653,0.0,top
Q3,162.471108,-84.811753,90.0,top
R1,162.539375,-60.88252,90.0,top
R10,153.581108,-80.871253,90.0,bottom
R101,161.677375,-107.026553,270.0,top
R11,163.909908,-154.699486,0.0,top
R12,130.391808,-127.02352,0.0,top
R13,175.386108,-140.561253,0.0,top
R14,173.866875,-154.410986,180.0,top
R15,175.252175,-135.28022,180.0,top
R16,162.469841,-80.30842,0.0,top
R17,162.411375,-78.413386,0.0,top
R18,168.692741,-125.696153,0.0016836729720353105,top
R19,168.747608,-130.516053,180.001262754521,top
R2,129.223341,-72.379353,180.0,top
R20,168.599908,-123.047253,180.0,top
R21,159.511108,-137.386253,0.0,top
R22,143.568541,-154.67222,180.001262754521,top
R23,159.609475,-135.238386,0.0,top
R24,154.739341,-135.246253,180.0,top
R25,159.511108,-141.196253,180.0,top
R26,155.033508,-142.221786,0.0,top
R27,162.530008,-90.99522,0.0,top
R28,173.901108,-80.871253,90.0,bottom
R29,163.741108,-80.871253,90.0,bottom
R3,164.217375,-54.303753,90.0,top
R30,143.421108,-80.871253,90.0,bottom
R31,141.503575,-138.94962,180.0,top
R32,154.851108,-126.008886,180.0,top
R33,121.196108,-136.116253,180.0,top
R34,141.393708,-133.615786,0.0,top
R35,154.851108,-132.091253,180.0,top
R36,141.533808,-135.277653,0.0,top
R37,155.008175,-123.45482,0.0,top
R38,136.436108,-133.576253,0.0,top
R39,133.297841,-151.013853,0.0,top
R4,128.261108,-54.303886,270.0,top
R40,121.196108,-133.576253,180.0,top
R41,121.196108,-138.656253,180.0,top
R42,136.436108,-138.656253,180.0,top
R43,136.436108,-136.116253,0.0,top
R44,132.626108,-133.576253,180.0,top
R45,169.456108,-117.289753,180.0,bottom
R46,128.181108,-91.889753,180.0,bottom
R47,155.486108,-117.289753,180.0,bottom
R48,141.516108,-117.289753,180.0,bottom
R49,127.546108,-117.289753,180.0,bottom
R5,133.434808,-54.261053,90.0,top
R50,143.474875,-151.21402,0.0,top
R51,172.274408,-93.41292,180.0,top
R52,163.947675,-150.99972,180.0,top
R53,153.545708,-150.77452,180.0,top
R54,172.211108,-97.381253,0.0,top
R55,123.139875,-154.427053,180.001262754521,top
R56,133.534375,-154.668853,0.0,top
R57,174.146341,-150.98182,180.0,top
R58,154.851108,-106.906253,270.0,top
R59,142.098808,-106.86682,270.0,top
R6,154.557541,-55.648586,90.00105229612899,top
R7,152.237608,-55.69322,270.0,top
R8,145.512475,-74.549453,180.0,top
R9,128.181108,-72.04472,180.0,bottom
R98,174.694875,-107.06502,270.0,top
SJ1,127.116175,-133.571353,180.0,top
SW1,173.901108,-54.201253,0.0,bottom
SW2,123.101108,-54.201253,179.998737245479,bottom
U1,148.818608,-107.06502,270.0,top
U19,168.344875,-107.06502,270.0,top
